market,latitude,longitude,year,month,temperature_mean,rainfall_monthly,humidity_mean
Agartala,23.84,91.28,2012,2,21.41,0.48,42.71
Agartala,23.84,91.28,2012,3,26.98,0.27,49.19
Agartala,23.84,91.28,2012,4,28.38,8.53,70.74
Agartala,23.84,91.28,2012,5,29.32,6.09,76.51
Agartala,23.84,91.28,2012,6,28.59,11.53,87.68
Agartala,23.84,91.28,2012,7,28.17,9.17,88.89
Agartala,23.84,91.28,2012,8,27.89,10.33,89.73
Agartala,23.84,91.28,2012,9,27.44,5.66,90.59
Agartala,23.84,91.28,2012,10,25.5,2.35,86.33
Agartala,23.84,91.28,2012,11,21.38,1.47,78.03
Agartala,23.84,91.28,2012,12,17.21,0.18,69.99
Agartala,23.84,91.28,2013,1,16.4,0.0,58.11
Agartala,23.84,91.28,2013,2,21.71,0.27,47.24
Agartala,23.84,91.28,2013,3,27.09,0.83,50.45
Agartala,23.84,91.28,2013,4,29.94,3.09,57.85
Agartala,23.84,91.28,2013,5,27.93,18.29,85.79
Agartala,23.84,91.28,2013,6,28.42,10.41,89.26
Agartala,23.84,91.28,2013,7,28.15,6.84,89.1
Agartala,23.84,91.28,2013,8,27.62,8.06,90.0
Agartala,23.84,91.28,2013,9,27.75,6.49,88.8
Agartala,23.84,91.28,2013,10,26.14,5.47,86.98
Agartala,23.84,91.28,2013,11,22.59,0.0,79.85
Agartala,23.84,91.28,2013,12,19.47,0.08,72.57
Agartala,23.84,91.28,2014,1,18.46,0.0,66.56
Agartala,23.84,91.28,2014,2,21.0,0.45,52.77
Agartala,23.84,91.28,2014,3,26.33,0.73,48.16
Agartala,23.84,91.28,2014,4,31.13,2.91,52.24
Agartala,23.84,91.28,2014,5,30.39,9.48,70.25
Agartala,23.84,91.28,2014,6,28.96,15.95,87.47
Agartala,23.84,91.28,2014,7,28.48,6.71,88.52
Agartala,23.84,91.28,2014,8,27.95,12.49,89.54
Agartala,23.84,91.28,2014,9,27.5,10.01,88.61
Agartala,23.84,91.28,2014,10,26.2,2.22,80.88
Agartala,23.84,91.28,2014,11,23.1,0.0,72.73
Agartala,23.84,91.28,2014,12,19.14,0.4,70.21
Agartala,23.84,91.28,2015,1,19.25,0.15,62.47
Agartala,23.84,91.28,2015,2,22.09,1.1,53.49
Agartala,23.84,91.28,2015,3,26.4,0.75,46.61
Agartala,23.84,91.28,2015,4,27.06,11.41,76.78
Agartala,23.84,91.28,2015,5,28.09,9.92,84.79
Agartala,23.84,91.28,2015,6,28.18,12.3,88.92
Agartala,23.84,91.28,2015,7,27.75,21.96,91.1
Agartala,23.84,91.28,2015,8,27.84,11.57,90.43
Agartala,23.84,91.28,2015,9,27.97,6.64,87.5
Agartala,23.84,91.28,2015,10,26.3,2.81,82.59
Agartala,23.84,91.28,2015,11,23.23,0.19,75.68
Agartala,23.84,91.28,2015,12,19.54,0.08,68.56
Agartala,23.84,91.28,2016,1,18.68,0.64,59.59
Agartala,23.84,91.28,2016,2,23.56,2.01,59.52
Agartala,23.84,91.28,2016,3,27.53,3.01,56.51
Agartala,23.84,91.28,2016,4,28.55,7.63,78.85
Agartala,23.84,91.28,2016,5,28.39,19.42,82.65
Agartala,23.84,91.28,2016,6,28.39,9.12,88.66
Agartala,23.84,91.28,2016,7,27.98,15.38,90.12
Agartala,23.84,91.28,2016,8,28.28,11.84,89.1
Agartala,23.84,91.28,2016,9,27.82,9.77,89.03
Agartala,23.84,91.28,2016,10,26.92,6.46,85.17
Agartala,23.84,91.28,2016,11,22.99,6.21,80.54
Agartala,23.84,91.28,2016,12,20.19,0.05,80.41
Agartala,23.84,91.28,2017,1,18.25,0.18,68.15
Agartala,23.84,91.28,2017,2,21.92,0.83,57.91
Agartala,23.84,91.28,2017,3,24.2,8.71,69.5
Agartala,23.84,91.28,2017,4,26.71,21.43,85.58
Agartala,23.84,91.28,2017,5,28.2,13.5,86.56
Agartala,23.84,91.28,2017,6,28.06,29.19,91.45
Agartala,23.84,91.28,2017,7,28.04,20.45,90.79
Agartala,23.84,91.28,2017,8,28.19,25.62,90.03
Agartala,23.84,91.28,2017,9,28.0,19.22,89.56
Agartala,23.84,91.28,2017,10,26.38,12.58,85.41
Agartala,23.84,91.28,2017,11,22.53,0.33,81.46
Agartala,23.84,91.28,2017,12,20.22,5.56,81.5
Agartala,23.84,91.28,2018,1,15.61,0.59,76.58
Agartala,23.84,91.28,2018,2,20.87,1.06,71.59
Agartala,23.84,91.28,2018,3,25.75,1.85,64.64
Agartala,23.84,91.28,2018,4,27.14,11.56,74.76
Agartala,23.84,91.28,2018,5,27.34,22.75,88.15
Agartala,23.84,91.28,2018,6,28.1,19.51,90.8
Agartala,23.84,91.28,2018,7,28.5,11.37,89.54
Agartala,23.84,91.28,2018,8,28.39,9.89,89.06
Agartala,23.84,91.28,2018,9,28.13,6.86,86.55
Agartala,23.84,91.28,2018,10,25.47,2.56,80.27
Agartala,23.84,91.28,2018,11,22.43,0.78,74.56
Agartala,23.84,91.28,2018,12,18.98,1.12,69.52
Agartala,23.84,91.28,2019,1,18.82,0.0,59.64
Agartala,23.84,91.28,2019,2,21.51,3.07,55.99
Agartala,23.84,91.28,2019,3,25.26,1.8,57.7
Agartala,23.84,91.28,2019,4,28.36,5.64,69.32
Agartala,23.84,91.28,2019,5,29.23,15.98,80.34
Agartala,23.84,91.28,2019,6,28.66,15.18,88.66
Agartala,23.84,91.28,2019,7,28.33,25.37,90.24
Agartala,23.84,91.28,2019,8,28.49,10.8,88.87
Agartala,23.84,91.28,2019,9,27.92,10.64,87.63
Agartala,23.84,91.28,2019,10,25.94,9.14,86.44
Agartala,23.84,91.28,2019,11,23.36,2.01,80.78
Agartala,23.84,91.28,2019,12,18.12,0.28,81.11
Agartala,23.84,91.28,2020,1,16.87,1.68,79.5
Agartala,23.84,91.28,2020,2,19.25,0.09,65.67
Agartala,23.84,91.28,2020,3,25.46,0.7,54.58
Agartala,23.84,91.28,2020,4,27.79,8.72,68.05
Agartala,23.84,91.28,2020,5,28.19,14.41,82.05
Agartala,23.84,91.28,2020,6,28.05,17.81,90.67
Agartala,23.84,91.28,2020,7,28.35,13.28,90.31
Agartala,23.84,91.28,2020,8,28.21,8.36,89.81
Agartala,23.84,91.28,2020,9,28.25,12.48,89.15
Agartala,23.84,91.28,2020,10,27.7,10.61,86.4
Agartala,23.84,91.28,2020,11,23.0,0.6,81.76
Agartala,23.84,91.28,2020,12,18.23,0.0,81.1
Agartala,23.84,91.28,2021,1,17.54,0.14,75.19
Agartala,23.84,91.28,2021,2,20.71,0.0,57.34
Agartala,23.84,91.28,2021,3,27.17,2.18,54.2
Agartala,23.84,91.28,2021,4,29.85,2.63,55.93
Agartala,23.84,91.28,2021,5,29.11,10.37,74.53
Agartala,23.84,91.28,2021,6,28.01,13.39,88.66
Agartala,23.84,91.28,2021,7,28.39,14.01,88.55
Agartala,23.84,91.28,2021,8,28.08,12.04,89.68
